,sentiment
663,"[{'confidence': 0.51718121231719, 'value': 'negative'}]"
665,"[{'confidence': 0.59132443891587, 'value': 'neutral'}]"
678,"[{'confidence': 0.52931110979856, 'value': 'neutral'}]"
681,"[{'confidence': 0.93062341025209, 'value': 'positive'}]"
682,"[{'confidence': 0.61277842072307, 'value': 'negative'}]"
686,
700,
702,
711,"[{'confidence': 0.51046329944198, 'value': 'negative'}]"
717,"[{'confidence': 0.50366063184661, 'value': 'neutral'}]"
726,
730,
733,"[{'confidence': 0.68932498189921, 'value': 'negative'}]"
738,"[{'confidence': 0.85435504231637, 'value': 'negative'}]"
749,"[{'confidence': 0.74181080123998, 'value': 'neutral'}]"
750,"[{'confidence': 0.58134907977371, 'value': 'neutral'}]"
751,"[{'confidence': 0.62404435279955, 'value': 'negative'}]"
754,"[{'confidence': 0.5401897392319, 'value': 'negative'}]"
755,
757,
766,"[{'confidence': 0.56535935439466, 'value': 'neutral'}]"
767,"[{'confidence': 0.66124593554431, 'value': 'neutral'}]"
777,"[{'confidence': 0.66461318541226, 'value': 'neutral'}]"
781,"[{'confidence': 0.5873181258305, 'value': 'neutral'}]"
786,"[{'confidence': 0.83768099193128, 'value': 'negative'}]"
787,"[{'confidence': 0.62420852008143, 'value': 'neutral'}]"
788,"[{'confidence': 0.60774904885145, 'value': 'negative'}]"
791,"[{'confidence': 0.53953069807959, 'value': 'negative'}]"
800,"[{'confidence': 0.52210217508557, 'value': 'neutral'}]"
802,
805,"[{'confidence': 0.7971422129072, 'value': 'negative'}]"
818,"[{'confidence': 0.6038352773438, 'value': 'neutral'}]"
820,"[{'confidence': 0.56009500808508, 'value': 'neutral'}]"
826,
844,"[{'confidence': 0.62961250748973, 'value': 'negative'}]"
859,"[{'confidence': 0.77437741399162, 'value': 'neutral'}]"
862,"[{'confidence': 0.77030568401699, 'value': 'negative'}]"
888,"[{'confidence': 0.64954363317263, 'value': 'neutral'}]"
890,
910,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
918,"[{'confidence': 0.53656553004028, 'value': 'negative'}]"
936,"[{'confidence': 0.70223092557798, 'value': 'negative'}]"
940,"[{'confidence': 0.66984070331979, 'value': 'neutral'}]"
941,
945,
949,"[{'confidence': 0.50182229651262, 'value': 'neutral'}]"
972,
983,"[{'confidence': 0.51411969182135, 'value': 'negative'}]"
991,"[{'confidence': 0.55455208619396, 'value': 'negative'}]"
999,"[{'confidence': 0.64112992230959, 'value': 'negative'}]"
1000,"[{'confidence': 0.64112992230959, 'value': 'negative'}]"
1003,
1004,"[{'confidence': 0.69649481372592, 'value': 'neutral'}]"
1010,
1025,"[{'confidence': 0.59459118782494, 'value': 'neutral'}]"
1027,"[{'confidence': 0.6092626401742, 'value': 'negative'}]"
1028,"[{'confidence': 0.66524606323325, 'value': 'negative'}]"
1058,"[{'confidence': 0.68205422627378, 'value': 'negative'}]"
1072,"[{'confidence': 0.56459940186715, 'value': 'neutral'}]"
1076,"[{'confidence': 0.51094258141623, 'value': 'negative'}]"
1079,
1083,"[{'confidence': 0.59232598156508, 'value': 'neutral'}]"
1091,
1093,"[{'confidence': 0.58423270012196, 'value': 'negative'}]"
1109,
1118,"[{'confidence': 0.77679370648415, 'value': 'negative'}]"
1124,
1125,"[{'confidence': 0.61336619805998, 'value': 'neutral'}]"
1126,
1133,"[{'confidence': 0.53266196449644, 'value': 'negative'}]"
1137,"[{'confidence': 0.52565162615304, 'value': 'neutral'}]"
1140,
1149,"[{'confidence': 0.50579099726416, 'value': 'negative'}]"
1150,"[{'confidence': 0.82855457094686, 'value': 'negative'}]"
1178,"[{'confidence': 0.70648473499097, 'value': 'neutral'}]"
1179,"[{'confidence': 0.70648473499097, 'value': 'neutral'}]"
1187,"[{'confidence': 0.54329447979199, 'value': 'neutral'}]"
1192,"[{'confidence': 0.53060586917465, 'value': 'negative'}]"
1193,"[{'confidence': 0.63866042787857, 'value': 'negative'}]"
1203,"[{'confidence': 0.6783957567271, 'value': 'negative'}]"
1205,
1213,"[{'confidence': 0.68030708245333, 'value': 'negative'}]"
1229,"[{'confidence': 0.65224575606822, 'value': 'negative'}]"
1232,"[{'confidence': 0.7499531418799, 'value': 'neutral'}]"
1249,"[{'confidence': 0.74342788131302, 'value': 'neutral'}]"
1257,"[{'confidence': 0.58278002280543, 'value': 'negative'}]"
1258,"[{'confidence': 0.62299589981792, 'value': 'negative'}]"
1264,"[{'confidence': 0.78835141770531, 'value': 'negative'}]"
1275,"[{'confidence': 0.54920905070234, 'value': 'neutral'}]"
1277,"[{'confidence': 0.69948983037059, 'value': 'neutral'}]"
1278,
1284,"[{'confidence': 0.59406297083729, 'value': 'neutral'}]"
1288,"[{'confidence': 0.5530842583712, 'value': 'negative'}]"
1304,"[{'confidence': 0.69212227600718, 'value': 'neutral'}]"
1306,
1309,"[{'confidence': 0.6739168845696, 'value': 'negative'}]"
1317,"[{'confidence': 0.72627491681256, 'value': 'negative'}]"
1322,"[{'confidence': 0.66066319051301, 'value': 'negative'}]"
1323,"[{'confidence': 0.56007337549978, 'value': 'negative'}]"
1338,"[{'confidence': 0.62335170269249, 'value': 'neutral'}]"
1344,"[{'confidence': 0.57942121200022, 'value': 'negative'}]"
1345,"[{'confidence': 0.50840991380012, 'value': 'negative'}]"
1351,"[{'confidence': 0.58121478760241, 'value': 'negative'}]"
1355,"[{'confidence': 0.51078570365763, 'value': 'neutral'}]"
1366,"[{'confidence': 0.61626671697542, 'value': 'negative'}]"
1368,
1372,"[{'confidence': 0.58432192341561, 'value': 'neutral'}]"
1382,"[{'confidence': 0.54221445245775, 'value': 'positive'}]"
1391,"[{'confidence': 0.58405899409053, 'value': 'neutral'}]"
1401,"[{'confidence': 0.68442708728448, 'value': 'negative'}]"
1409,"[{'confidence': 0.56659914859856, 'value': 'negative'}]"
1416,"[{'confidence': 0.81302684445043, 'value': 'neutral'}]"
1421,"[{'confidence': 0.52996629121773, 'value': 'negative'}]"
1435,"[{'confidence': 0.62951451118919, 'value': 'negative'}]"
1461,"[{'confidence': 0.59112889296001, 'value': 'negative'}]"
1465,"[{'confidence': 0.55482392179991, 'value': 'negative'}]"
1467,"[{'confidence': 0.66210615842432, 'value': 'negative'}]"
1478,"[{'confidence': 0.60941392860075, 'value': 'neutral'}]"
1480,"[{'confidence': 0.80869978477319, 'value': 'negative'}]"
1484,"[{'confidence': 0.77456462426553, 'value': 'positive'}]"
1485,"[{'confidence': 0.54735517232413, 'value': 'neutral'}]"
1488,
1491,"[{'confidence': 0.66415095142893, 'value': 'negative'}]"
1505,"[{'confidence': 0.62870352720779, 'value': 'negative'}]"
1524,"[{'confidence': 0.55348055740027, 'value': 'negative'}]"
1538,"[{'confidence': 0.5650384379482, 'value': 'positive'}]"
1550,"[{'confidence': 0.60519010714552, 'value': 'neutral'}]"
1559,
1561,"[{'confidence': 0.73991775215499, 'value': 'negative'}]"
1564,"[{'confidence': 0.80873328604015, 'value': 'neutral'}]"
1565,"[{'confidence': 0.52497017430612, 'value': 'neutral'}]"
1566,"[{'confidence': 0.53756659750485, 'value': 'neutral'}]"
1612,"[{'confidence': 0.61174070965717, 'value': 'negative'}]"
1621,"[{'confidence': 0.70648473499097, 'value': 'neutral'}]"
1625,"[{'confidence': 0.53765003995794, 'value': 'negative'}]"
1629,
1641,"[{'confidence': 0.62932687293216, 'value': 'neutral'}]"
1642,"[{'confidence': 0.5539407613453, 'value': 'negative'}]"
1645,
1654,"[{'confidence': 0.6371757870906, 'value': 'neutral'}]"
1696,
1697,
1710,"[{'confidence': 0.51518969437025, 'value': 'negative'}]"
1719,"[{'confidence': 0.70422602694413, 'value': 'neutral'}]"
1720,"[{'confidence': 0.51907247082798, 'value': 'neutral'}]"
1742,
1745,"[{'confidence': 0.54903597312982, 'value': 'negative'}]"
1763,
1771,"[{'confidence': 0.57943143480427, 'value': 'negative'}]"
1783,"[{'confidence': 0.64530534349908, 'value': 'negative'}]"
1788,
1791,"[{'confidence': 0.70461780593373, 'value': 'neutral'}]"
1795,"[{'confidence': 0.61824690054515, 'value': 'negative'}]"
1800,"[{'confidence': 0.5644501380164, 'value': 'neutral'}]"
1802,"[{'confidence': 0.66559653825772, 'value': 'negative'}]"
1812,
1825,
1830,"[{'confidence': 0.82952428295746, 'value': 'negative'}]"
1833,"[{'confidence': 0.80812287699832, 'value': 'neutral'}]"
1841,
1846,"[{'confidence': 0.72589445974814, 'value': 'negative'}]"
1848,
1858,
1862,"[{'confidence': 0.76182139636396, 'value': 'negative'}]"
1863,
1871,
1878,"[{'confidence': 0.80862206235856, 'value': 'negative'}]"
1887,
1934,"[{'confidence': 0.55013519529612, 'value': 'neutral'}]"
1943,"[{'confidence': 0.70648473499097, 'value': 'neutral'}]"
1948,"[{'confidence': 0.68657201735739, 'value': 'negative'}]"
1969,"[{'confidence': 0.70648473499097, 'value': 'neutral'}]"
1979,
1985,"[{'confidence': 0.55051254786586, 'value': 'neutral'}]"
2015,"[{'confidence': 0.6548765194034, 'value': 'negative'}]"
2029,"[{'confidence': 0.73292087985059, 'value': 'negative'}]"
2033,"[{'confidence': 0.63342814398352, 'value': 'negative'}]"
2040,
2059,"[{'confidence': 0.77694380409644, 'value': 'negative'}]"
2078,"[{'confidence': 0.59996809430044, 'value': 'negative'}]"
2103,"[{'confidence': 0.56028603202697, 'value': 'negative'}]"
2114,"[{'confidence': 0.6255940154691, 'value': 'negative'}]"
2120,"[{'confidence': 0.54426164461233, 'value': 'negative'}]"
2122,"[{'confidence': 0.68128388969771, 'value': 'neutral'}]"
2150,
2161,"[{'confidence': 0.52898341300607, 'value': 'neutral'}]"
2165,
2172,"[{'confidence': 0.6615191657628, 'value': 'negative'}]"
2174,"[{'confidence': 0.57965624392989, 'value': 'neutral'}]"
2179,"[{'confidence': 0.50198255500079, 'value': 'neutral'}]"
2185,"[{'confidence': 0.50520861192428, 'value': 'negative'}]"
2186,
2188,"[{'confidence': 0.59520888015608, 'value': 'neutral'}]"
2189,"[{'confidence': 0.52134073354111, 'value': 'neutral'}]"
2192,"[{'confidence': 0.67031598670241, 'value': 'negative'}]"
2193,"[{'confidence': 0.65632014910185, 'value': 'negative'}]"
2198,"[{'confidence': 0.60817915153382, 'value': 'neutral'}]"
2199,"[{'confidence': 0.51138667984039, 'value': 'neutral'}]"
2204,
2211,"[{'confidence': 0.69322227159122, 'value': 'negative'}]"
2217,
2222,
2230,"[{'confidence': 0.68288618068583, 'value': 'negative'}]"
2233,"[{'confidence': 0.61809568505309, 'value': 'negative'}]"
2234,"[{'confidence': 0.57302667208291, 'value': 'negative'}]"
2235,"[{'confidence': 0.52686243721482, 'value': 'neutral'}]"
2246,"[{'confidence': 0.67319983545055, 'value': 'negative'}]"
2250,
2251,"[{'confidence': 0.57047433069983, 'value': 'negative'}]"
2252,"[{'confidence': 0.64612484101025, 'value': 'negative'}]"
2262,
2273,
2281,"[{'confidence': 0.62102258522446, 'value': 'neutral'}]"
2283,"[{'confidence': 0.50833361508045, 'value': 'neutral'}]"
2289,"[{'confidence': 0.53267383880235, 'value': 'neutral'}]"
2295,"[{'confidence': 0.64903883965888, 'value': 'negative'}]"
2296,"[{'confidence': 0.54918538351061, 'value': 'negative'}]"
2297,"[{'confidence': 0.54127360554932, 'value': 'negative'}]"
2298,"[{'confidence': 0.50105757847155, 'value': 'neutral'}]"
2300,"[{'confidence': 0.59522296477662, 'value': 'negative'}]"
2303,"[{'confidence': 0.7770814943187, 'value': 'neutral'}]"
2308,"[{'confidence': 0.85266233009374, 'value': 'negative'}]"
2313,"[{'confidence': 0.81465548758463, 'value': 'negative'}]"
2314,"[{'confidence': 0.66971099754911, 'value': 'neutral'}]"
2319,"[{'confidence': 0.57366394958209, 'value': 'negative'}]"
2322,"[{'confidence': 0.62711257617695, 'value': 'negative'}]"
2357,"[{'confidence': 0.5320342733903, 'value': 'negative'}]"
2366,"[{'confidence': 0.68791943459551, 'value': 'neutral'}]"
2372,"[{'confidence': 0.54288308168015, 'value': 'negative'}]"
2378,
2391,"[{'confidence': 0.66960973352865, 'value': 'neutral'}]"
2398,"[{'confidence': 0.72313797282209, 'value': 'negative'}]"
2401,
2406,"[{'confidence': 0.86929661275939, 'value': 'negative'}]"
2407,"[{'confidence': 0.69642943173152, 'value': 'neutral'}]"
2411,"[{'confidence': 0.50953639291416, 'value': 'negative'}]"
2415,"[{'confidence': 0.79036020885024, 'value': 'negative'}]"
2419,"[{'confidence': 0.5253900437545, 'value': 'neutral'}]"
2422,
2426,"[{'confidence': 0.6484050708404, 'value': 'negative'}]"
2427,"[{'confidence': 0.5497315926021, 'value': 'negative'}]"
2428,
2432,"[{'confidence': 0.62966024469893, 'value': 'negative'}]"
2437,"[{'confidence': 0.76564318722347, 'value': 'positive'}]"
2447,"[{'confidence': 0.54905963388271, 'value': 'negative'}]"
2460,"[{'confidence': 0.51270998516376, 'value': 'neutral'}]"
2462,"[{'confidence': 0.63557385244476, 'value': 'neutral'}]"
2464,"[{'confidence': 0.63929158799134, 'value': 'neutral'}]"
2477,"[{'confidence': 0.51909190096542, 'value': 'positive'}]"
2481,"[{'confidence': 0.70324784661174, 'value': 'negative'}]"
2497,
2510,"[{'confidence': 0.59841083691263, 'value': 'neutral'}]"
2518,"[{'confidence': 0.53536707331006, 'value': 'neutral'}]"
2537,"[{'confidence': 0.58985690569289, 'value': 'neutral'}]"
2542,
2543,
2558,"[{'confidence': 0.80530101118737, 'value': 'negative'}]"
2559,"[{'confidence': 0.54754661614674, 'value': 'neutral'}]"
2569,"[{'confidence': 0.71272564641461, 'value': 'negative'}]"
2581,"[{'confidence': 0.74652069925963, 'value': 'negative'}]"
2582,"[{'confidence': 0.50861216989181, 'value': 'negative'}]"
2596,
2602,"[{'confidence': 0.75548911505612, 'value': 'neutral'}]"
2605,"[{'confidence': 0.54313385210158, 'value': 'negative'}]"
2618,"[{'confidence': 0.60085415169497, 'value': 'neutral'}]"
2624,"[{'confidence': 0.67856698240026, 'value': 'negative'}]"
2625,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
2635,
2645,"[{'confidence': 0.65468657002469, 'value': 'negative'}]"
2648,"[{'confidence': 0.50786900988662, 'value': 'neutral'}]"
2651,"[{'confidence': 0.61702638756998, 'value': 'neutral'}]"
2654,"[{'confidence': 0.51327620575586, 'value': 'neutral'}]"
2669,"[{'confidence': 0.70309853372928, 'value': 'neutral'}]"
2671,
2673,"[{'confidence': 0.7293041341206, 'value': 'neutral'}]"
2679,"[{'confidence': 0.53289603872888, 'value': 'negative'}]"
2700,"[{'confidence': 0.51909190096542, 'value': 'positive'}]"
2704,
2728,
2734,
2736,"[{'confidence': 0.79781419261381, 'value': 'negative'}]"
2739,"[{'confidence': 0.96197372773466, 'value': 'positive'}]"
2747,"[{'confidence': 0.826135272104, 'value': 'negative'}]"
2749,"[{'confidence': 0.7494797099106, 'value': 'neutral'}]"
2755,"[{'confidence': 0.59214026908174, 'value': 'negative'}]"
2775,"[{'confidence': 0.5051284881714, 'value': 'negative'}]"
2783,
2789,
2795,"[{'confidence': 0.61409884843033, 'value': 'negative'}]"
2803,
2811,
2829,
2890,
2900,"[{'confidence': 0.72578614969243, 'value': 'negative'}]"
2901,"[{'confidence': 0.63820833145621, 'value': 'negative'}]"
2905,"[{'confidence': 0.76835226028201, 'value': 'negative'}]"
2907,"[{'confidence': 0.58924490798889, 'value': 'negative'}]"
2910,"[{'confidence': 0.59239006429552, 'value': 'neutral'}]"
2914,
2917,"[{'confidence': 0.51507031667061, 'value': 'neutral'}]"
2919,"[{'confidence': 0.52362727257401, 'value': 'neutral'}]"
2933,"[{'confidence': 0.73852265047143, 'value': 'neutral'}]"
2957,
2962,"[{'confidence': 0.78910023211988, 'value': 'negative'}]"
2967,"[{'confidence': 0.77653414288402, 'value': 'positive'}]"
2968,"[{'confidence': 0.6284168816737, 'value': 'neutral'}]"
3002,"[{'confidence': 0.52231050088729, 'value': 'neutral'}]"
3011,"[{'confidence': 0.57444202640655, 'value': 'neutral'}]"
3013,"[{'confidence': 0.78802365252029, 'value': 'negative'}]"
3019,"[{'confidence': 0.52791251446304, 'value': 'negative'}]"
3021,"[{'confidence': 0.72313577460395, 'value': 'negative'}]"
3026,"[{'confidence': 0.52917445543818, 'value': 'neutral'}]"
3028,"[{'confidence': 0.50900633502167, 'value': 'neutral'}]"
3041,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
3056,"[{'confidence': 0.58475681201997, 'value': 'neutral'}]"
3058,"[{'confidence': 0.54007477306115, 'value': 'negative'}]"
3071,"[{'confidence': 0.6142694427709, 'value': 'neutral'}]"
3079,
3080,"[{'confidence': 0.60085415169497, 'value': 'neutral'}]"
3085,
3089,
3091,
3093,"[{'confidence': 0.5242407955123, 'value': 'negative'}]"
3095,"[{'confidence': 0.50219213194224, 'value': 'neutral'}]"
3106,"[{'confidence': 0.55376249584711, 'value': 'negative'}]"
3113,"[{'confidence': 0.64282917265664, 'value': 'negative'}]"
3122,"[{'confidence': 0.61724120636578, 'value': 'neutral'}]"
3125,"[{'confidence': 0.55722240614933, 'value': 'negative'}]"
3127,"[{'confidence': 0.50664884728921, 'value': 'negative'}]"
3133,"[{'confidence': 0.62976509536901, 'value': 'negative'}]"
3139,"[{'confidence': 0.6033683257714, 'value': 'negative'}]"
3142,"[{'confidence': 0.84882051044626, 'value': 'negative'}]"
3144,"[{'confidence': 0.58502971453144, 'value': 'negative'}]"
3150,"[{'confidence': 0.53653131060783, 'value': 'negative'}]"
3151,
3155,
3159,"[{'confidence': 0.5516887414186, 'value': 'neutral'}]"
3160,
3170,"[{'confidence': 0.53311242097965, 'value': 'negative'}]"
3171,
3176,"[{'confidence': 0.76090717660364, 'value': 'neutral'}]"
3178,
3182,"[{'confidence': 0.52545960049909, 'value': 'negative'}]"
3183,"[{'confidence': 0.68006628155075, 'value': 'negative'}]"
3185,"[{'confidence': 0.57247799494838, 'value': 'negative'}]"
3188,"[{'confidence': 0.6940302858922, 'value': 'neutral'}]"
3189,"[{'confidence': 0.68341385706876, 'value': 'neutral'}]"
3193,
3202,
3212,"[{'confidence': 0.62319004516882, 'value': 'negative'}]"
3214,"[{'confidence': 0.62191868106549, 'value': 'negative'}]"
3223,"[{'confidence': 0.79145311852726, 'value': 'negative'}]"
3229,
3233,"[{'confidence': 0.57498360666378, 'value': 'negative'}]"
3236,"[{'confidence': 0.6187588537181, 'value': 'negative'}]"
3241,"[{'confidence': 0.52344478468899, 'value': 'neutral'}]"
3245,"[{'confidence': 0.66753018940016, 'value': 'neutral'}]"
3250,"[{'confidence': 0.59277021913447, 'value': 'neutral'}]"
3252,"[{'confidence': 0.56095969299362, 'value': 'neutral'}]"
3262,"[{'confidence': 0.55264024754152, 'value': 'negative'}]"
3264,
3268,
3271,"[{'confidence': 0.52698498772122, 'value': 'negative'}]"
3277,
3288,"[{'confidence': 0.76016824923844, 'value': 'negative'}]"
3290,"[{'confidence': 0.75805378917468, 'value': 'negative'}]"
3291,"[{'confidence': 0.72970914705178, 'value': 'negative'}]"
3293,"[{'confidence': 0.70364862286508, 'value': 'negative'}]"
3302,"[{'confidence': 0.70015139150582, 'value': 'negative'}]"
3303,
3306,"[{'confidence': 0.5371909785231, 'value': 'neutral'}]"
3307,"[{'confidence': 0.64265531995688, 'value': 'neutral'}]"
3309,"[{'confidence': 0.79287665463352, 'value': 'negative'}]"
3310,"[{'confidence': 0.84636587306033, 'value': 'negative'}]"
3312,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
3313,"[{'confidence': 0.83552103998649, 'value': 'negative'}]"
3323,"[{'confidence': 0.63889092785615, 'value': 'negative'}]"
3324,"[{'confidence': 0.77357941047371, 'value': 'negative'}]"
3327,"[{'confidence': 0.72164268295073, 'value': 'neutral'}]"
3331,"[{'confidence': 0.71781312988924, 'value': 'negative'}]"
3339,
3340,"[{'confidence': 0.86348551922855, 'value': 'negative'}]"
3348,"[{'confidence': 0.69090193412584, 'value': 'negative'}]"
3356,"[{'confidence': 0.54858373505865, 'value': 'negative'}]"
3362,"[{'confidence': 0.89830756394596, 'value': 'negative'}]"
3373,"[{'confidence': 0.52488935675083, 'value': 'neutral'}]"
3375,"[{'confidence': 0.51724851073196, 'value': 'negative'}]"
3382,
3390,"[{'confidence': 0.6864433269583, 'value': 'negative'}]"
3408,"[{'confidence': 0.5461108067397, 'value': 'neutral'}]"
3409,"[{'confidence': 0.67693715930438, 'value': 'negative'}]"
3413,"[{'confidence': 0.78377771305884, 'value': 'negative'}]"
3421,"[{'confidence': 0.65419768540848, 'value': 'neutral'}]"
3423,"[{'confidence': 0.57946455654674, 'value': 'neutral'}]"
3427,"[{'confidence': 0.60561139596299, 'value': 'neutral'}]"
3429,"[{'confidence': 0.86093085687454, 'value': 'negative'}]"
3430,"[{'confidence': 0.67751430946828, 'value': 'negative'}]"
3439,"[{'confidence': 0.53865833202104, 'value': 'neutral'}]"
3445,
3449,"[{'confidence': 0.50093929574812, 'value': 'negative'}]"
3450,"[{'confidence': 0.60495571969917, 'value': 'neutral'}]"
3452,"[{'confidence': 0.61380892848229, 'value': 'negative'}]"
3456,"[{'confidence': 0.57997156572924, 'value': 'neutral'}]"
3459,
3466,"[{'confidence': 0.60501460555781, 'value': 'negative'}]"
3467,"[{'confidence': 0.67685884720404, 'value': 'negative'}]"
3475,"[{'confidence': 0.56790048898185, 'value': 'neutral'}]"
3482,"[{'confidence': 0.72548866684283, 'value': 'negative'}]"
3483,"[{'confidence': 0.52669536596105, 'value': 'neutral'}]"
3486,"[{'confidence': 0.5491457440676, 'value': 'neutral'}]"
3487,"[{'confidence': 0.55442064649213, 'value': 'negative'}]"
3493,"[{'confidence': 0.79006725608583, 'value': 'neutral'}]"
3495,"[{'confidence': 0.66569852460493, 'value': 'negative'}]"
3525,"[{'confidence': 0.61940002823745, 'value': 'neutral'}]"
3535,
3538,"[{'confidence': 0.87049120413582, 'value': 'negative'}]"
3545,"[{'confidence': 0.89679885092486, 'value': 'positive'}]"
3588,
3634,
3644,
3656,"[{'confidence': 0.52801626818432, 'value': 'negative'}]"
3683,
3690,"[{'confidence': 0.54446638280525, 'value': 'negative'}]"
3702,
3704,"[{'confidence': 0.51011318606609, 'value': 'neutral'}]"
3710,"[{'confidence': 0.69522838881145, 'value': 'neutral'}]"
3719,"[{'confidence': 0.52519535889263, 'value': 'neutral'}]"
3723,"[{'confidence': 0.55746471475798, 'value': 'neutral'}]"
3736,
3775,"[{'confidence': 0.52554498529996, 'value': 'neutral'}]"
3836,"[{'confidence': 0.67940027149448, 'value': 'neutral'}]"
3840,"[{'confidence': 0.66302049337527, 'value': 'negative'}]"
3851,
3852,"[{'confidence': 0.57659457252575, 'value': 'neutral'}]"
3897,
3916,"[{'confidence': 0.61172621595026, 'value': 'neutral'}]"
3945,"[{'confidence': 0.71550440717727, 'value': 'negative'}]"
3947,
3948,"[{'confidence': 0.56664318892109, 'value': 'neutral'}]"
3949,"[{'confidence': 0.80823742832792, 'value': 'negative'}]"
3953,
3960,
3984,"[{'confidence': 0.62060076658499, 'value': 'negative'}]"
4014,"[{'confidence': 0.55925505615332, 'value': 'negative'}]"
4043,"[{'confidence': 0.58859425103749, 'value': 'neutral'}]"
4045,
4067,"[{'confidence': 0.54662828302535, 'value': 'negative'}]"
